title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
Service Technician II,"US, IL, Chicago",Maintenance,null,"MAC Property Management is dedicated to providing an exemplary living experience, the highest possible quality of service and a superior value for our residents.  It is important for us to preserve the environment, improve infrastructures, and enhance the beauty of our settings.  We are in the process of acquiring new properties in these existing markets as well as expanding to new markets across the country.  MAC Property Management, LLC is an Equal Opportunity Employer.","Diagnose and perform minor and routine maintenance/repair involving apartment turnover on a daily basisElectrical and plumbing repair including rodding sewer linesHVAC Domestic water systems (proper certification may be required for some repairs)Appliances (when applicable)Tile, Carpet, wood flooringInterior/Exterior lights, ceiling fansFireplacesGas fixtures and appliances (when applicable)Shutters, doors, cabinets, windows, sliding glass doors, boiler, gas and electricDoor locks, P.O. Boxes repining and locksSecurity systems, fire protection equipment, entry systems, emergency power systemsWalls – drywall and plaster repairFinish carpentry and hardware installationWaste management repairs (chutes, compactors)Complete assigned service requests and repairs consistent with company operating and equipment/supply standards and in a timely manner.Assist with organizing and prioritizing service requests and general maintenance tasks.Ensure vacant apartment homes are rent-ready in a timely manner.  Perform make ready work as requiredMaintain company customer service standards.  Respond to resident requests and work with resident to minimize/resolve problems and complaints.  Follow through to ensure work is completed to residents’ satisfaction.Inspect vacated apartments and complete make-ready checklists.  Inform Service Director of needed services and repairs.  Routinely perform duties to restore apartments to “market ready” status.  Re-inspect vacant apartments after make-ready operations have completed to determine quality of work performance.Maintain accurate records regarding service requests received and completed apartment make-ready status work in progress, etc.Constantly be aware of the condition of physical property throughout the community and immediately report unsafe conditions (i.e. broken gates leading to pools, broken steps, open holes, broken/burned out exterior lights).Report all major repairs and requisitions to the Service Director prior to any expenditure of funds.  Maintain adequate inventory of spare parts and maintenance materials to handle most common repairs and situations.Identify all utility meter cut-offs, apartment and fixture cut-offs, sewer clean outs, and prepare maps indicating same schedule and perform routine preventive maintenance on all make ready apartments.  Inspect and maintain all tools in excellent condition.Apply all applicable MAC Property Management policies and procedures such as, but not limited to company operating and safety standards.  Promote safe work practices among on-site staff.Ensure compliance with all federal, state and local laws, specifically Fair Housing regulations.Respond timely to all On-Call emergency requests.  Weekend and after hours overtime required.Performs other related duties and assignments as required.","High school diploma or equivalent (GED) preferred.Valid driver's license and own vehicle is required for this portfolio.  Those without either will not be considered for this role and should consider waiting to apply for a role that does not have this requirement, as there are properties without this requirement.  Background checks and checking for a valid driver's license will apply for this role.1 Year of experience in property management maintenance performing the duties associated with a maintenance Technician IAbility to read and write English as demonstrated by clear and concise written and verbal communications, the ability to read maintenance tickets and the ability to read and understand labels on containers of cleaning and chemical suppliesAbility to perform basic arithmetic skills such as measurement, addition, subtraction, multiplication and division in order to do basic calculations and analysis such as estimating, determining averages and percentages, and totals.Ability to occasionally operate general office equipment such as, but not limited to, personal computer, telephone, photocopying machine, facsimile machine and postage machine.Ability to frequently use general maintenance tools, supplies and equipment such as, but not limited to, hand tools, pressure washers, blowers, paint equipment, pool chemicals, snow and ice removal equipment, ladders, landscaping equipment, sandblasters, and safety equipment.Ability to frequently handle and use chemicals and general cleaning supplies.Vehicle and Driver's License Required.Ability to frequently stand, walk, stoop, kneel, crouch or crawl, and climb (stairs, ladders, etc.)Provide own basic tool and knowledgeable and skilled in the safe use and maintenance of the following tools;Hand tools:  Various wrenches, screw drivers, grips, sledge hammer, hammer, snips, post hole diggers, saws, etc.Power tools: wrenches, grinder, sander, drill, saws, etc.User-Moved Aids: Wheelbarrows, dollies, hand trucks, buckets, hoists, jacks, step ladders, full ladders, double laddersMechanical equipment:  Motors, pumps, compressors, blowers, electric and hand powered augers, etc. Measures of Success:Service Requests complete within 24 hour period, on callProperty inspections based on MAC Property management standardsAll apartments turned within 5 days if applicable","This role will have some on-call shifts.  This is a requirement for the role and will be a measure of success for the role.Great benefits: including excellent health care, vision, dental, life insurance, flex spending, 401K with company match, educational reimbursement and paid vacation.MAC Property Management is an Equal Opportunity Employer. As a condition of employment, a satisfactory drug test, and background check are required.",0,1,0,null,null,null,null,null,0
Payroll Data Coordinator Positions - Earn $100-$200 Daily ,"US, PA, Abbottstown ",null,null,null,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you","RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills   ","This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#",0,0,0,null,null,null,null,null,1
"Producer, Thai Service ","US, DC, Washington",null,null,"Applied Memetics LLC is a professional services company dedicated to integrating and delivering best practice communication and information solutions in pre-conflict, conflict, or post-conflict areas.  The world has changed: ‘always on’ brands require a new way of thinking to engage and manage their consumers. Our purpose is to inspire original thinking through a deeper understanding of technology and human behaviour.  From strategy through to implementation, our teams of connected specialists – all experts in their respective fields – work together to help our clients maximise the opportunities created by the changing digital world and create a multi faceted digital strategy through to implementation.Our work explores a new model of journalism that is based around a global story – in this case, the struggle for human rights and democracy around the world. Our goal is to build a better user experience of these stories by adding context to content, using the latest digital tools of the day. Over time, we hope to add greater clarity, deeper understanding, and more sustained engagement to the conversations surrounding global events. As such, our content is transcribed and translated into English for broadcast to a global audience.",The Producer shall properly complete all daily tasks. These daily tasks include but are not limited to: properly creating line-ups and logs (fails not more than once per week); executing a program line-up (fails not more than twice per week); correcting production errors in news stories or features (fails not more than twice per week). ,"The Producer shall have at least three years of current experience. The Producer shall conceptualize and design complex programs for radio, television and/or the internet, as required, with an innovative and creative approach. Programs are of various formats, such as live and pre-recorded programs, documentaries, specials on breaking news stories, and remote live feeds. The Producer shall determine how these programs and segments of the programs work across platforms and shall ensure that audio and video content migrate to the appropriate web sites and social media sites. The Producer shall perform relevant duties, including writing copy, editing copy, editing audio segments, booking guests and performing interviews when called upon to do so. The individual shall have extensive knowledge of the target region, its people, culture, institutions and political situation, and have the ability to adapt English material to the target language and translate the target language to English. The Producer shall keep up to date on broadcast and technical trends and shall incorporate appropriate production methods into programs. The Producer shall become familiar with the Agency’s Best Practices Guide and shall adhere to its policies.Knowledge of Thai language not required. ",null,0,1,0,null,null,null,null,null,0
Church Administrator/ Secretary,"US, OH, Cincinnati",null,null,"Bradley Contracting Group Corporation offers a wide range of B2B services through a plethora of different small business entities. We have sectors in many different industries. Our main objective is to harness contracts with as many different small businesses, and corporations in the Cincinnati Tri-State Area, and in the southern ohio region.Bradley Contracting Group Corporation has been around for almost 5 years doing work in different cities for various clients. We've worked out of Louisville Ky, Charlotte NC, and Atlanta GA. As of November 2013 we've established ourselves as transportation and courier service. Some clients of note are FedEx Ground, and HHGreg. As a result of our own diligence and dedication to excellence we're also looking to expand into other markets as well as obtain contracts with Lowes, Best Buy, the City of Cincinnati, the State of Ohio, and many different schools and districts of schools as well. We're in excellent standing with the State of Kentucky and a registered Foreign entity with the State of Ohio. We're temporarily stationed out in Hamilton, Ohio within our transportation and warehousing facility we've recently acquired. Our main focus is to establish a reputation of excellence, diligence, and innovation. If you feel you can live up to our motto, ""Excellence no excuses."", we'd love to have you as a part of our team!","Description of the Church Administrative AssistantThe Church Administrative Assistant serves under the direct supervision of the Senior Pastor, to manage all activities of the main church office and perform administrative duties related to the church’s operation. This is a full time position. Canidates for this postion should be of a Pentacostal or Baptist background and the church is apart of the Full Gospel Church Fellowship Organization.","Qualifications of the Church Administrative AssistantThe Church Administrative Assistant must be a professing Christian.The Church Administrative Assistant must hold an active membership, attend regularly and be in good standing with a local church.The Church Administrative Assistant must have a minimum of five years experience in secretarial work.The Church Administrative Assistant must have strong communication, computer and organizational skills.The Church Administrative Assistant must be proficient in the use of standard office tools (copy machine, fax machine, etc.).The Church Administrative Assistant must demonstrate a high level of trust (A violation of trust will result in immediate dismissal.).The Church Administrative Assistant should always exhibit professionalism, demonstrated by well-groomed appearance, conscientious work ethic, teaching ability and accountability.The Church Administrative Assistant should be willing and able to work at a fast pace within a variety of settings and circumstances, with composure and flexibility.The Church Administrative Assistant should be ever conscious of the need for confidentiality.The Church Administrative Assistant should exercise discernment and wise judgment.The Church Administrative Assistant should be a self-starter, good at multi-tasking and prioritizing projects.The Church Administrative Assistant should possess the ability to work independently without supervision.Responsibilities of the Church Administrative AssistantCommunicationAct as receptionist in making appointments and receiving visitors.Screen and route all incoming calls.Check and respond to all emails as soon as possible.As soon as information is received, send email notifications to all staff and Chairman of Deacons. This includes, but not limited to, deaths (when arrangements are known), hospitalizations, surgeries, outcome of surgeries, serious accidents, births, etc.Participant in weekly staff meetings.Route incoming faxes to appropriate staff.DocumentationDistribute mail to appropriate personnel.Generate and prepare weekly bulletin.Continuously update Prayer Sheet and generate copies for Wednesday night services.Prepare cards for Wednesday night outreach.Type correspondence and other items for Pastor.Serve as secretary to Church Council and at monthly business meetings (take minutes).Generate and make copies of monthly Church Council reports.Maintain file of all invoices, correspondence, and reports.Send and receive all church membership letters.Keep computer databases and mailing lists up to date.Generate and disseminate quarterly Grounds Security schedule.Prepare certificates for special occasions.Make reservations for use of church facilities.Submit daily timesheet.Maintain a current list of key holders and provide keys to personnel as needed. Collect keys upon departure.Accurately track church items on loan.Keep track of PTO used and available for all church staff.FinancialPost weekly deposits.Post weekly church contributions.Pay all bills for the church.Submit weekly time worked for all employees to the church accountant for weekly payroll checks.Complete and submit monthly, quarterly, and annual government reports, with payment.Reconcile all banking accounts monthly.Generate and make copies of financial reports for Finance Committee and monthly business meetings.Generate and mail yearly church contribution report to members.Other ResponsibilitiesSet up meetings and other appointments for Pastor.Coordinate travel arrangements, when necessary.Purchase and maintain all office supplies.Recruit, schedule, and train volunteer office help.Other duties as assigned.",Weekly competitive pay and Fulltime benefits after 90 days.,0,1,0,null,null,null,null,null,1
Administrative/Receptionist - $19.25/hr,"US, IN, Indianapolis",Administrative,null,null,   Normal  0   ADMINITRATIVE ASSISTANT This is an entry-level full position - work hours are 8:30-5pm (Mon-Fri) Partner with co-president's assistant to provide administrative leverage to the co-presidents office. Acts as gatekeeper while building/maintaining relationships internally and externally across all levels. Responsible for managing a busy calendar and scheduling travel schedule.," Confident yet easy-going; firm yet flexible; hard working, positive attitude.Professional appearance and solid communication skills both written and verbal.Ability to multi-task/prioritize and work under pressure.Manages time effectively, good attention to detail and organizational skills; ability to meet deadlines and set priorities for specific assignments.Anticipates needs and/or potential problems; initiate steps to resolve issues.Ability to be resourceful and proactive in dealing with issues that may arise.Uses judgment in dealing with sensitive issues","$19.25/hr plus bonus, great benefits and hours are 8:30am-5pm. ",0,1,1,null,null,null,null,null,1
Customer Service Associate ,"US, NY, New York",null,null,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."," The Customer Service Associate will be based in New York, NY. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Preparation of incoming invoices, statements, and correspondence for scanning according to establish guidelines: Scanning, Indexing, Quality Assurance and Release on imaging software.Maintains accurate documentation of invoices for processing and storage; ensuring compliance within set business guidelinesFollow production procedures and completing internal documentation, tracking and archiving.Adhere to Imaging Center guidelines of maintaining clean work environment.Perform scanning task on complex conversions utilizing specialized equipment, high speed equipment and/or flatbed scanning.Ability to work at a sustained pace to meet production service level agreements while producing quality work.Must possess strong problem solving ability, acceptable of change and long durations of project assignments.Ability to work independently with minimal supervision. Must be detail oriented and possess the ability to detect and correct document quality issues.Must be comfortable sitting for 7-8 hours per day and ability to lift 50 lbs.Excellent reading and writing skills and good verbal communication skills","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredAdvanced knowledge of Word, MS Windows, Outlook, WorkSite, Excel, PowerPoint, Access, scanning software, Kofax Capture, Onbase. Canon DR 9080C, Truper 3200 Preferred Qualifications:Keyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Excellent communication skills both verbal and writtenLifting up to 50 lbs with or without accommodationsWillingness and availability to work additional hours if assignedWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policy",null,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
Python Software Engineer,"GR, I, Athens",null,null,"We are a young tech company specialising in long-term data storage.We believe personal digital archives are important. We are obsessed with their preservation. Our mission is to safeguard and preserve personal digital archives for the future.We are building exceptional products and services that provide our users with unparalleled quality and ease of use.Check out our services, #URL_ea62281b94b06b4c3b9c3ddd7c217285d4e42be1815461aeb7060e607ae2dc13# and #URL_e2b32e5add9bdec97f192bf1f5147afe2e8a58cbc8eaf13fba0fc07d508f3b15#.","If you are looking to work for a startup with global ambitions and join a team just before the big jump, this is for you: we are about to double our team size and get ready to grow exponentially.We are looking for one or more full-time Software Engineers who will join our existing team of developers.Most of our infrastructure is based on Python and Django, so there is a lot of freedom to work on what excites you most: It could be our websites (#URL_ea62281b94b06b4c3b9c3ddd7c217285d4e42be1815461aeb7060e607ae2dc13# and #URL_e2b32e5add9bdec97f192bf1f5147afe2e8a58cbc8eaf13fba0fc07d508f3b15#), our backend (Amazon S3, Amazon Glacier and Amazon EC2), integrations with other cloud storage services like Dropbox, Google Drive, OneDrive, encryption, payments, you name it.This is an open position: We are looking for the right mix of people that will help our development team grow in skills and capacity. We are equally interested in junior software engineers with some Python knowledge who are willing to spend time and effort and learn from our experienced team, and skilled Python ninjas who will bring their own expertise to the team. What we are not looking for is part-timers: We want people who will join our team heat and mind and who will help us develop not just great products, but also a great company.We are going to do crazy things, we are looking for the crazy ones!",PythonDjangoGitFluency in English,"We offer a competitive salary and a stock option plan. But we are also building a company where employees enjoy benefits that make them more productive, help them improve their skills and aim high.",0,1,1,Full-time,null,null,Consumer Services,null,0
Senior Ruby on Rails Developer,"GR, I, Athens",Engineering ,null,null,"Have you thought of moving to Japan just to write more Ruby? Do you like writing mean and clean Ruby code? Come join the rest of the Skroutz crew and help us build amazing things.What you'll do:Design and develop new featuresLead teams to develop new featuresFocus on performance and tune on millisecondsWork with AI algorithmsWork on any platform, IDE you like","Expertise in Ruby and RORGood knowledge of traditional SQL DatabasesBasic knowledge in NoSQLEngineering spirit, don't be afraid to get your hands dirtyTendency towards simple solutions and pragmatic codeGood communication skills and team spirit",A great environment!Weekly light talksJoin a talented team to solve interesting problemsLearn &amp; state of the art technologiesShape the future of a service that thousands of users use every dayCompetitive salary,0,0,1,null,null,null,null,null,0
Rooms Division Manager,"MY, , ",null,null,"Awarded by Expatriate Lifestyle Magazine with 2013 Best Business Hotel Excellence Award, Le Meridien Kuala Lumpur is the ultimate place for indulgence whenever one visits Malaysia. Strategically located in Kuala Lumpur Sentral (KL Sentral), the business and transportation hub adjacent to Kuala Lumpur city centre, the hotel is easily accessible through integrated rail connections. This 35-storey hotel is only 28 minutes ride from the Kuala Lumpur International Airport (KLIA) and 33 minutes from KLIA2 via KLIA Express Rail Link. With the integrated mall NU Sentral in KL Sentral, guests will have the opportunity to explore retail threrapy before commuting to the airport.","The Rooms Division Manager is responsible for Executive Housekeeping and FrontOffice. He/she manages the general operation of the Front Office e.g. Reception,Reservations, Concierge, Switchboard and Night Manager.A Rooms Division Manager is directly reporting to the General Manager or the DeputyManager. The position’s main duties are divided in spot checking of hotel rooms toensure standards, authorizing all leave schedules or ensuring control ofexpenditures as well as budgets set. A RDM attends weekly executive and salesmeetings as well as the General Manager’s briefings with Front Office andHousekeeping.For that a Rooms Division Manager needs clear, concise written and verbalcommunication skills at his/her disposal, as well as strong organizational,excellent time management skills and technical skills.","High school or equivalent education required. Bachelor's degree and Master's degreein related area preferred. 5 years related experience, including at least 3 years inmanagerial rolePrevious experience as Front Office Manager in a luxury hotel or resort property.Skills and Abilities Required:* Impeccable communication skills.* Strong determination and diligence.* Passion for customer service.* Excellent problem solving skills.* Self-confident and pleasant.* Strong motivation skills.* An eye for detail.* Well organized.* Excellent leadership skills.* Basic Computer skills.",null,0,1,0,null,null,null,null,null,1
Customer Service Representative,"US, TX, SAN ANTONIO",null,null,null,"SUMMARYResponsible for acting as a liaison between customers and companies. Assists with complaints, orders, errors, account questions, billing, cancelations, and other queries.PRIMARY RESPONSIBILITIESResolve customer complaints via phone, email, mail, or social media.Use telephones to reach out to customers and verify account information.Greet customers warmly and ascertain problem or reason for calling.Cancel or upgrade accounts.Assist with placement of orders, refunds, or exchanges.Advise on company information.Take payment information and other pertinent information such as addresses and phone numbers.Place or cancel orders.Answer questions about warranties or terms of sale.Act as the company gatekeeper.Suggest solutions when a product malfunctions.Handle product recalls.Attempt to persuade customer to reconsider cancellation.Inform customer of deals and promotions.Sell products and services.Utilize computer technology to handle high call volumes.Work with customer service manager to ensure proper customer service is being delivered.Close out or open call records.","Experience: Proficiency with Microsoft Word, Excel, PowerPoint; spreadsheets; web content management; and ability to navigate databases required. Experience working in higher education preferred. Experience with grant preparation and management preferred","You would be eligible to Benefits after 2months of working with the company, Benefits offered are Health Insurance / Vacations / ",0,0,0,Full-time,Not Applicable,High School or equivalent,Consumer Services,Customer Service,1
Real Estate Finance Paralegal Job in Orange County,"US, CA, Orange County",Legal,null,null,"A well-known law firm has a job opportunity in their Orange County office for a Real Estate Finance Paralegal. The ideal candidate will have 3+ years of law firm experience. Candidate must possess the following: strong interpersonal and organizational skills, be detail-oriented and have the ability to prioritize and manage workload. Candidate must also be able to work independently as well as part of a team. Take advantage of the opportunity to work at a company. In order to be considered, applicants MUST have a Bachelor’s degree AND Paralegal Certificate and have three + years of prior, stable experience. This is a time sensitive opportunity so please apply with availability information.","• Possesses strong Microsoft Office application skills (Excel, Word, etc.). • Possesses strong interpersonal, communication and client relations skills. • Demonstrates ability to learn quickly and relate processes to the big picture. • Must be a self-starter, detail-oriented with strong organizational and verbal/written communication skills. • Demonstrates ability to juggle multiple assignments in a fast-paced team oriented environment. • Must have transactional experience with an emphasis in real estate or real estate finance. • Experience should include: title and survey review, review of purchase and sale agreements, leases, property management agreements, development agreements, and coordination and closing loan transactions. • Must have three (3) years prior experience. Primary Duties • Perform paralegal duties and responsibilities as directed by group leader and other attorneys. • Demonstrate strong organizational and writing skills. • Receive and follow complex instructions. • Take appropriate action to monitor and meet deadlines. Educational Requirements Graduation from a four-year college or university with a bachelor’s degree, and certificate of completion from a paralegal training program, American Bar Association (ABA) approval preferred. (An equivalent combination of training, education and experience that demonstrates the ability to perform the duties of the position may substitute for education requirements.) Job Snapshot Base Pay DOE Employment Type Full Time Job Type Legal, Legal Admin Education Bachelor’s Degree AND Paralegal Certificate Experience 3+ years Manages Others No Relocation No Industry Legal Required Travel Not Specified","About Special Counsel At Special Counsel, we are the nation’s leading provider of legal staffing services. Since 1987, America’s most respected law firms and corporations have looked to us again and again for the very best talent, giving us access to more premier career opportunities than anyone else. Your expertise makes you valuable, and that’s why we offer a competitive salary and a wide range of benefits, including group medical, dental and vision insurance, 401(k), referral bonuses and more. We also offer career guidance and ongoing support to help you flourish. Become a part of our winning team. Apply today or contact your local Special Counsel office to learn more.",0,0,1,null,null,null,null,null,0
Full-time Web Developer,"PH, , ",null,528000-636000,null,#NAME?,"- Must have extensive knowledge of CMS frameworks like WordPress- Must have extensive knowledge and experience with PHP, HTML5 and Javascript- Experienced in JQuery and JSON implementations- Able to code and understand responsive sites- Experience with Squarespace is preferableWorking hours: 3am-11am or 11pm-7am (can be adjusted as long as it's within these time frames)Internet Speed: At least 3mbps",null,0,1,0,Full-time,Not Applicable,Unspecified,Information Technology and Services,Information Technology,0
Mobile Applications / R&D Software Engineer,"GR, I, Halandri",R&D Department,null,null,We're looking for a motivated individual to work as mobile application developer.You will be responsible for developing and updating the company’s products for mobile device platforms. You will be involved in all aspects of application development from UI design and implementation to the underlying application logic and interfacing with server components.,"You must have at least 3 years working experience with: an excellent understanding of web development technologies HTML5, Javascript, CSS and  AJAXexperience with web based mobile application development concepts such as responsive web design and mobile UX considerationsexperience with a javascript mobile application framework (preferably Sencha Touch) and hybrid application builders (such as Phonegap)experience with native application development for iOS and/or Android platforms and MVC application designUnderstanding of streaming media formats for audio/video and their integration into mobile applicationsExcellent English in writing and speaking",null,0,0,1,null,null,null,null,null,0
Floor Techs/Carpet Cleaners,"US, CA, Sacramento Region",null,null,null,"Seeking floor techs and carpet cleaners in the Sacramento region. Duties include stripping floors, extracting carpets and washing windows. Occasional travel to the San Francisco Bay Area required. Handyman skills a plus.",Six months previous carpet and floor care experience required. ,null,0,1,1,Part-time,null,null,null,null,0
Escrow Officer / Closer,"US, CO, Westminster",null,null,"Network Closing Services has been serving Lenders, Real Estate Consumers, and Professionals since 1999.  We provide courteous professional services, speedy title searches, and timely disbursements.  Dynamic flexibility is key to our success.  Your satisfaction, as our client, is important.  We are here to assist you and ensure a efficient, cohesive transaction.  Our experienced settlement officers and attorneys will travel anywhere in the country, day or night, to perform a closing. Our staff is committed to providing our customers a level of service that is unparalleled in the title industry.  Today's competitive market requires more than dedication and experience. It requires proven expertise, irrepressible vision and tightly orchestrated teamwork. Network Closing Services incorporates these essential qualities into every facet of every service we offer. We successfully deliver innovative, high-volume, regional closing services.  For resume review, email to #EMAIL_bbbab0052922a3a922939af2180ff4d9f034ba04634bd573870818da62a0d151# or call Office: #PHONE_113b1bd5d3e5e087c3480c458e2ef299fd3a272612224463899e65ab2fe73995# x7141 Cell: #PHONE_c3853c0e034b798989b048d3a55a28d03177bfde5db40af1c435f6fa5a867868#","Looking for a change?  Then give us a call!!Network Closing Services, Inc., a full service Title Company is seeking Title/Escrow Closers with a book of business.  We are growing nationwide, come join a winning team!Network Closing Services has been serving Lenders, Real Estate Consumers, and Professionals since 1999.  We provide courteous professional services, speedy title searches, and timely disbursements.  Dynamic flexibility is key to our success.  Our Client satisfaction is very important.  We provide experienced settlement officers and attorneys anywhere in the country, day or night, to perform a closing. Our staff is committed to providing our customers a level of service that is unparalleled in the title industry.  Today's competitive market requires more than dedication and experience. It requires proven expertise, irrepressible vision and tightly orchestrated teamwork. Network Closing Services incorporates these essential qualities into every facet of every service we offer. We successfully deliver innovative, high-volume, regional closing services.Close residential purchase/sale transactions, in accordance with closing instructions from lender and sellerPrepare and package all documents to ensure recordingsPrepare all closing documents to ensure Title issues are resolved and Title Insurance is issued at closingConduct closing with customer, realtor, lenders, and attorneysCollect and disburse funds in accordance with escrow instructionsPrepare settlement statements including HUD and GFESend HUD's to appropriate parties and wire transfer informationMaintain and establish new client relationships - MarketWe operate in a paperless environment – Faster ServiceGrowth opportunityEmmanuel Sanchez#PHONE_dc5cff94cbcc4ac18e1234a2e6521946ae7d722bdf66cfc1af3aeca9255aee0d##URL_1bdaa45fd1ec77ea7879abfceafd610ca4fa9b4eb30eb6fa5f39b9ffac8a8c5a#                                            *Seeking candidates in Florida and Nationwide                                             *Mortgage Loan Closers Not being considered","Are you a top Closer in your market? Are you a go-getter and commited to growht?  Are you a dedicated customer service oriented Title Professional? If you answered yes to these questions then we want you!Experienced Title Settlement CloserMust have a current Realtor, Broker, Lender Book of Business  and ability to marketKnowledge of RamQuest a plusNotary public or be bondableProfessional under pressure, honest and goal oriented","We provide a fun and rewarding atmosphere, our employees are supported at all levels to achieve a common goal.  We also have the traditional benefits including:Vacation PaySick PayHoliday Pay401k PlanHealth, Dental, and Vision Insurance",0,1,1,Full-time,Mid-Senior level,null,Real Estate,null,0
Call Center Representative,"US, NJ, Camden",Sales,null,We are a nationwide recruiting and training firm that recruits and trains entry-level employees in the skilled trade industries.,"Want to work in a fast-paced, dynamic environment where your efforts are rewarded?We are hiring FULL TIME call center sales representatives in Stratford, NJ. Just a 20 min drive or ride on the PATCO Speedline from downtown Philly.The average rep earns $15/hour, and our most successful reps earn $20+/hour.REGISTER FOR AN INTERVIEW-Call us: #PHONE_0814f032f01156c9557f6d4239ae10ac57a7260aada4d863cb1db34574f86466#, ext 1-Register online at #URL_318d3b93e27acec288f845b4f8ddc786c2afcf796bc3b547a1e942902a4fb881#WANT MORE INFO?-Call us: #PHONE_0814f032f01156c9557f6d4239ae10ac57a7260aada4d863cb1db34574f86466#, ext 3-Email us: jobsATworkamericaDOTco (Not .com)",Clean Drug/Clean Backgroun,null,0,1,0,null,null,null,null,null,1
 Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"GB, ABD, ",Clerical,250000-500000,null,"This job requires you to have the ability to operate keyboard or other data entry device to enter data into computer or onto magnetic tape or disk for subsequent entry. Inputs alphabetic and numeric information from credit card applications onto an automated credit processing system, other clerical duties as required.Follows set procedures and meets specific throughput standards. Able to work under deadline pressure with minimum supervision, read large dollar figures for long periods of time. ","We are seeking only honest, self-motivated people with a desire to work in the typing and data entry fieldThe preferred applicants should be at least 18 years old with Internet access. Little experience is needed.Minimum Qualifications:•             High School diploma or GED.•             1 year of clerical/data entry experience in a fast-paced environment.•             Demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills.•             Ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion.•             Basic database usage.•             Team player with good communication, data entry, organization and follow-through skills.•             Ability to write and type grammatically correct database entries in English.•             Intermediate Microsoft Word and Excel skills.•             Experience using a corporate email system.•             Basic Microsoft PowerPoint. ","This position is high paying and you will be paid WEEKLY via direct deposit, check, or company provided debit card. Candidate will be paid $50-$70 Per hour commensurate with experience and education.  APPLY NOW AT #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534# AND GET STARTED TODAY!",0,0,0,Full-time,Not Applicable,High School or equivalent,Staffing and Recruiting,Administrative,1
"HTML, CSS3 & JavaScript, Web Design - Sr. Front End Developer","US, CA, San Francisco",Information Technology,null,null,"Skills: HTML, CSS3 &amp; JavaScript, Server-Side coding, Web Design, Adaptive &amp; Responsive Techniques, and Sitecore a plus. Our Banking Client is seeking a Sr. Front End Developer to join their .NET development team to support the Digital Channels initiatives. This is a Contract to Hire opportunity. ","Duties &amp; Responsibilities: As a Front End Developer, you specialize in building responsive and elegant web UIs. You live and breathe the fundamentals of CSS, and HTML, and command an impressive portfolio of web technologies new and old — all in order to launch innovative features to our banking customers whether it is on a tablet, a smartphone or a desktop. Create visually appealing web pages and user interfaces Visualize and anticipate the interaction points of printed web design and web design concepts Code web pages and user interfaces as defined by specifications Create and/or modify CMS templates Created, modify and/or extend jQuery libraries and plug-ins Testing for cross-browser incompatibilities Work in a team environment Work closely with UX designers, project managers, back-end and other front-end engineers to implement versatile solutions to tricky web development problems. Quickly generate a prototype from UI concepts for testing and team feedback. As a developer and being part of the agile team, work in sprint planning. Estimation, tasks breakdown and develop, test and deliver into the continuous integrated environment. Qualifications: 3-7 years’ experience Deep working experience with HTML, CSS3 &amp; JavaScript Server-side coding experience Web design experience An understanding of UX concepts and techniques A portfolio of previous work Experience with adaptive and responsive techniques. TFS based development process. TDS integration usage for Sitecore Experience in Sitecore Content Management platform is a big plus. A Four-year degree or comparative level of experience. Superior communication skills Precise attention to detail",null,0,0,0,Contract,null,null,null,Information Technology,0
